StartTime,EndTime,Hero,Placement,RatingBefore,RatingAfter,Duos
2025-10-15T21:24:13.0906049+02:00,2025-10-15T21:59:39.2740842+02:00,TB_BaconShop_HERO_75,1,1152,1452,false
2025-10-15T22:08:02.6069802+02:00,2025-10-15T22:38:26.5439712+02:00,BG28_HERO_400,5,1452,1452,false
2025-10-15T22:41:22.4631197+02:00,2025-10-15T23:00:44.0802311+02:00,BG24_HERO_100_SKIN_B,6,1452,1452,false
2025-10-15T23:10:07.8092336+02:00,2025-10-15T23:39:00.7182284+02:00,BG20_HERO_101,2,1452,1623,false
2025-10-15T23:39:59.5427552+02:00,2025-10-16T00:18:09.0021541+02:00,TB_BaconShop_HERO_02_SKIN_C,1,1623,1837,false
2025-10-16T00:19:32.6494470+02:00,2025-10-16T00:50:45.1084831+02:00,TB_BaconShop_HERO_40,1,1837,2052,false
2025-10-16T21:01:05.8417875+02:00,2025-10-16T21:29:13.2516980+02:00,TB_BaconShop_HERO_74,3,2976,3147,false
2025-10-16T21:50:48.2003163+02:00,2025-10-16T22:25:52.8496959+02:00,TB_BaconShop_HERO_41,1,3147,3447,false
2025-10-16T22:26:39.3720212+02:00,2025-10-16T22:44:52.4700880+02:00,BG21_HERO_000,7,3447,3392,false
2025-10-16T22:45:41.0257277+02:00,2025-10-16T23:11:58.2181372+02:00,TB_BaconShop_HERO_33,3,3392,3563,false
2025-10-16T23:36:18.8750932+02:00,2025-10-17T00:06:49.8809425+02:00,BG20_HERO_202,1,3563,3863,false
2025-10-17T16:11:59.8439513+02:00,2025-10-17T16:33:58.2456264+02:00,BG21_HERO_020,5,3818,3801,false
2025-10-17T16:34:56.1041184+02:00,2025-10-17T17:06:37.0312407+02:00,BG20_HERO_242,1,3801,4101,false
2025-10-18T13:23:53.2664338+02:00,2025-10-18T14:02:04.9187711+02:00,TB_BaconShop_HERO_49_SKIN_F,1,4101,4383,false
2025-10-18T14:03:01.3254577+02:00,2025-10-18T14:32:11.8781927+02:00,TB_BaconShop_HERO_43_SKIN_G,4,4383,4417,false
