player_id,hero,start_time,end_time,placement,rating,rating_after,minions
144115198130930503_29190944,TB_BaconShop_HERO_75,2025-10-15T21:24:13.0906049+02:00,2025-10-15T21:59:39.2740842+02:00,1,1152,1452,BG21_015_G;BG25_040;BG33_245;BG29_813;BG33_245;BG32_822;BG28_597_G
144115198130930503_29190944,BG28_HERO_400,2025-10-15T22:08:02.6069802+02:00,2025-10-15T22:38:26.5439712+02:00,5,1452,1452,BG27_024_G;BG27_024;BG23_009_G;BG26_505_G;BG26_501;BG32_837;BG23_008
144115198130930503_29190944,BG24_HERO_100_SKIN_B,2025-10-15T22:41:22.4631197+02:00,2025-10-15T23:00:44.0802311+02:00,6,1452,1452,BG32_891;BG29_140;BG29_140;BG21_005;BG21_004;BG21_004
144115198130930503_29190944,BG20_HERO_101,2025-10-15T23:10:07.8092336+02:00,2025-10-15T23:39:00.7182284+02:00,2,1452,1623,BG33_828;TB_BaconUps_130;BG32_236_G;BG32_236_G;BG32_236_G;BG33_827;BG32_236_G
144115198130930503_29190944,TB_BaconShop_HERO_02_SKIN_C,2025-10-15T23:39:59.5427552+02:00,2025-10-16T00:18:09.0021541+02:00,1,1623,1837,BG33_318;BG33_318;BG27_013_G;BG31_144;BG31_144;BG26_354_G;BG26_350_G
144115198130930503_29190944,TB_BaconShop_HERO_40,2025-10-16T00:19:32.6494470+02:00,2025-10-16T00:50:45.1084831+02:00,1,1837,2052,BG27_024;BG23_009_G;BG26_505;BG33_920;BG26_502;BG32_837;BG32_836
144115198130930503_29190944,TB_BaconShop_HERO_74,2025-10-16T21:01:05.8417875+02:00,2025-10-16T21:29:13.2516980+02:00,3,2976,3147,BG30_160;BG27_013;BG28_597;BG31_812;BG31_810;BG33_334;BG21_036
144115198130930503_29190944,TB_BaconShop_HERO_41,2025-10-16T21:50:48.2003163+02:00,2025-10-16T22:25:52.8496959+02:00,1,3147,3447,BG25_010_G;BG25_010_G;BG25_005_G;BG32_325;BG31_175;BG33_116;BG33_116_G
144115198130930503_29190944,BG21_HERO_000,2025-10-16T22:26:39.3720212+02:00,2025-10-16T22:44:52.4700880+02:00,7,3447,3392,BG21_HERO_000_Buddy_G;TB_Baconups_202;BGS_127;BG31_815_G;BG28_551;BG21_036;BG21_036
144115198130930503_29190944,TB_BaconShop_HERO_33,2025-10-16T22:45:41.0257277+02:00,2025-10-16T23:11:58.2181372+02:00,3,3392,3563,BG21_004;BG29_140;BG33_300;BG33_155_G;BG29_840;BG33_320;BG21_004
144115198130930503_29190944,BG20_HERO_202,2025-10-16T23:36:18.8750932+02:00,2025-10-17T00:06:49.8809425+02:00,1,3563,3863,BG20_104_G;BG33_885_G;BG20_101_G;BG33_883;BG28_583;BG20_303;BG20_303
144115198130930503_29190944,BG21_HERO_020,2025-10-17T16:11:59.8439513+02:00,2025-10-17T16:33:58.2456264+02:00,5,3818,3801,BG32_820;BG21_015_G;BG33_827;BG28_551;BG21_HERO_020_Buddy_G;BG32_173;BG25_001
